Dec-31,12-31,Malachi 3:1-4:6,Revelation 22:1-21,Psalms 150:1-6,Proverbs 31:25-31
Dec-30,12-30,Malachi 1:1-2:17,Revelation 21:1-27,Psalms 149:1-9,Proverbs 31:10-24
Dec-29,12-29,Zechariah 14:1-21,Revelation 20:1-15,Psalms 148:1-14,Proverbs 31:8-9
Dec-28,12-28,Zechariah 12:1-13:9,Revelation 19:1-21,Psalms 147:1-20,Proverbs 31:1-7
Dec-27,12-27,Zechariah 10:1-11:17,Revelation 18:1-24,Psalms 146:1-10,Proverbs 30:33
Dec-26,12-26,Zechariah 9:1-17,Revelation 17:1-18,Psalms 145:1-21,Proverbs 30:32
Dec-25,12-25,Zechariah 8:1-23,Revelation 16:1-21,Psalms 144:1-15,Proverbs 30:29-31
Dec-24,12-24,Zechariah 6:1-7:14,Revelation 15:1-8,Psalms 143:1-12,Proverbs 30:24-28
Dec-23,12-23,Zechariah 4:1-5:11,Revelation 14:1-20,Psalms 142:1-7,Proverbs 30:21-23
Dec-22,12-22,Zechariah 2:1-3:10,Revelation 13:1-18,Psalms 141:1-10,Proverbs 30:18-20
Dec-21,12-21,Zechariah 1:1-21,Revelation 12:1-17,Psalms 140:1-13,Proverbs 30:17
Dec-20,12-20,Haggai 1:1-2:23,Revelation 11:1-19,Psalms 139:1-24,Proverbs 30:15-16
Dec-19,12-19,Zephaniah 1:1-3:20,Revelation 10:1-11,Psalms 138:1-8,Proverbs 30:11-14
Dec-18,12-18,Habakkuk 1:1-3:19,Revelation 9:1-21,Psalms 137:1-9,Proverbs 30:10
Dec-17,12-17,Nahum 1:1-3:19,Revelation 8:1-13,Psalms 136:1-26,Proverbs 30:7-9
Dec-16,12-16,Micah 5:1-7:20,Revelation 7:1-17,Psalms 135:1-21,Proverbs 30:5-6
Dec-15,12-15,Micah 1:1-4:13,Revelation 6:1-17,Psalms 134:1-3,Proverbs 30:1-4
Dec-14,12-14,Jonah 1:1-4:11,Revelation 5:1-14,Psalms 133:1-3,Proverbs 29:26-27
Dec-13,12-13,Obadiah 1:1-21,Revelation 4:1-11,Psalms 132:1-18,Proverbs 29:24-25
Dec-12,12-12,Amos 7:1-9:15,Revelation 3:7-22,Psalms 131:1-3,Proverbs 29:23
Dec-11,12-11,Amos 4:1-6:14,Revelation 2:18-3:6,Psalms 130:1-8,Proverbs 29:21-22
Dec-10,12-10,Amos 1:1-3:15,Revelation 2:1-17,Psalms 129:1-8,Proverbs 29:19-20
Dec-9,12-09,Joel 1:1-3:21,Revelation 1:1-20,Psalms 128:1-6,Proverbs 29:18
Dec-8,12-08,Hosea 10:1-14:9,Jude 1:1-25,Psalms 127:1-5,Proverbs 29:15-17
Dec-7,12-07,Hosea 6:1-9:17,3 John 1:1-15,Psalms 126:1-6,Proverbs 29:12-14
Dec-6,12-06,Hosea 4:1-5:15,2 John 1:1-13,Psalms 125:1-5,Proverbs 29:9-11
Dec-5,12-05,Hosea 1:1-3:5,1 John 5:1-21,Psalms 124:1-8,Proverbs 29:5-8
Dec-4,12-04,Daniel 11:36-12:13,1 John 4:1-21,Psalms 123:1-4,Proverbs 29:2-4
Dec-3,12-03,Daniel 11:2-35,1 John 3:7-24,Psalms 122:1-9,Proverbs 29:1
Dec-2,12-02,Daniel 9:1-11:1,1 John 2:18-3:6,Psalms 121:1-8,Proverbs 28:27-28
Dec-1,12-01,Daniel 8:1-27,1 John 2:1-17,Psalms 120:1-7,Proverbs 28:25-26
Nov-30,11-30,Daniel 7:1-28,1 John 1:1-10,Psalms 119:153-176,Proverbs 28:23-24
Nov-29,11-29,Daniel 6:1-28,2 Peter 3:1-18,Psalms 119:129-152,Proverbs 28:21-22
Nov-28,11-28,Daniel 5:1-31,2 Peter 2:1-22,Psalms 119:113-128,Proverbs 28:19-20
Nov-27,11-27,Daniel 4:1-37,2 Peter 1:1-21,Psalms 119:97-112,Proverbs 28:17-18
Nov-26,11-26,Daniel 2:24-3:30,1 Peter 4:7-5:14,Psalms 119:81-96,Proverbs 28:15-16
Nov-25,11-25,Daniel 1:1-2:23,1 Peter 3:8-4:6,Psalms 119:65-80,Proverbs 28:14
Nov-24,11-24,Ezekiel 47:1-48:35,1 Peter 2:11-3:7,Psalms 119:49-64,Proverbs 28:12-13
Nov-23,11-23,Ezekiel 45:13-46:24,1 Peter 1:13-2:10,Psalms 119:33-48,Proverbs 28:11
Nov-22,11-22,Ezekiel 44:1-45:12,1 Peter 1:1-12,Psalms 119:17-32,Proverbs 28:8-10
Nov-21,11-21,Ezekiel 42:1-43:27,James 5:1-20,Psalms 119:1-16,Proverbs 28:6-7
Nov-20,11-20,Ezekiel 40:28-41:26,James 4:1-17,Psalms 118:19-29,Proverbs 28:3-5
Nov-19,11-19,Ezekiel 39:1-40:27,James 2:18-3:18,Psalms 118:1-18,Proverbs 28:2
Nov-18,11-18,Ezekiel 37:1-38:23,James 1:19-2:17,Psalms 117:1-2,Proverbs 28:1
Nov-17,11-17,Ezekiel 35:1-36:38,James 1:1-18,Psalms 116:1-19,Proverbs 27:23-27
Nov-16,11-16,Ezekiel 33:1-34:31,Hebrews 13:1-25,Psalms 115:1-18,Proverbs 27:21-22
Nov-15,11-15,Ezekiel 31:1-32:32,Hebrews 12:14-29,Psalms 113:1-114:8,Proverbs 27:18-20
Nov-14,11-14,Ezekiel 29:1-30:26,Hebrews 11:32-12:13,Psalms 112:1-10,Proverbs 27:17
Nov-13,11-13,Ezekiel 27:1-28:26,Hebrews 11:17-31,Psalms 111:1-10,Proverbs 27:15-16
Nov-12,11-12,Ezekiel 24:1-26:21,Hebrews 11:1-16,Psalms 110:1-7,Proverbs 27:14
Nov-11,11-11,Ezekiel 23:1-49,Hebrews 10:18-39,Psalms 109:1-31,Proverbs 27:13
Nov-10,11-10,Ezekiel 21:1-22:31,Hebrews 10:1-17,Psalms 108:1-13,Proverbs 27:12
Nov-9,11-09,Ezekiel 20:1-49,Hebrews 9:11-28,Psalms 107:1-43,Proverbs 27:11
Nov-8,11-08,Ezekiel 18:1-19:14,Hebrews 9:1-10,Psalms 106:32-48,Proverbs 27:10
